mgra,taz,msa
1745,4314,3
1746,2530,1
1747,2000,0
1748,3708,3
1749,3878,3
1750,4694,3
1751,2124,0
1752,3783,3
1753,2079,0
1754,2637,0
1755,2535,0
1756,3993,3
1757,4471,2
1758,2875,0
1759,3324,0
1760,2410,0
1761,3055,2
1762,2664,0
1763,2882,0
1764,2861,0
1765,3901,0
1766,3265,2
1767,2676,0
1768,2658,0
1769,625,0
1770,1814,0
1771,4275,3
1772,2616,0
1773,3389,0
1774,39,4
1775,1627,1
1776,2130,0
1777,3437,2
1778,4335,3
1779,2964,1
1780,2335,1
1781,281,4
1782,310,4
1783,2344,0
1784,2177,0
1785,474,1
1786,4314,3
1787,3839,3
1788,1785,0
1789,1511,1
1790,4021,3
1791,2206,0
1792,2590,0
1793,1854,0
1794,22,4
1795,4511,5
1796,3434,0
1797,820,1
1798,2762,0
1799,3727,3
1800,4286,3
1801,854,1
1802,1726,0
1803,2353,0
1804,729,1
1805,29,4
1806,926,1
1807,2689,0
1808,3462,0
1809,3272,0
1810,3350,0
1811,1293,1
1812,1731,0
1813,2659,0
1814,1744,0
1815,1295,1
1816,3956,3
1817,278,4
1818,2252,0
1819,2095,0
1820,4682,3
1821,3603,3
1822,1159,0
1823,1229,0
1824,2240,1
1825,1572,0
1826,2295,0
1827,570,1
1828,2375,1
1829,878,1
1830,2875,0
1831,2718,0
1832,4285,3
1833,3603,3
1834,27,4
1835,3135,0
1836,3892,0
1837,677,1
1838,677,1
1839,2935,0
1840,2628,0
1841,2145,0
1842,1860,0
1843,4085,3
1844,747,0
1845,769,1
1846,2032,1
1847,802,0
1848,1779,0
1849,95,4
1850,2479,0
1851,2450,0
1852,1601,0
1853,793,0
1854,2602,0
1855,558,1
1856,622,1
1857,4695,3
1858,4285,3
1859,900,1
1860,554,1
1861,1871,0
1862,1839,0
1863,2637,0
1864,4141,3
1865,36,4
1866,3496,0
1867,2476,0
1868,3821,3
1869,2697,2
1870,1781,0
1871,2554,0
1872,4322,2
1873,2313,0
1874,2057,0
1875,1327,1
1876,1506,0
1877,52,4
1878,617,1
1879,3715,1
1880,610,0
1881,2351,0
1882,1221,0
1883,2338,0
1884,1839,0
1885,1555,0
1886,608,1
1887,2363,1
1888,4141,3
1889,661,1
1890,1238,1
1891,3780,3
1892,2764,0
1893,3537,0
1894,1312,1
1895,2412,0
1896,63,4
1897,1667,0
1898,673,0
1899,2530,1
1900,1810,0
1901,1970,0
1902,2312,0
1903,4260,2
1904,746,1
1905,4146,3
1906,3263,1
1907,2659,0
1908,42,4
1909,2247,0
1910,3146,2
1911,3920,1
1912,2472,0
1913,2143,1
1914,1495,1
1915,851,0
1916,2208,0
1917,4070,2
1918,2637,0
1919,2649,0
1920,1777,0
1921,2280,0
1922,271,4
1923,729,1
