Zip_Code,Lat_ft,Long_ft
93210,3132420,5334970
93212,3070330,5588710
93215,2964680,5699550
93219,3004580,5642780
93221,3159800,5728320
93222,2627810,5682030
93223,3155170,5690290
93224,2769210,5566190
93225,2616120,5712380
93226,2949320,5840890
93230,3158320,5567050
93234,3160950,5428430
93235,3188790,5686150
93238,2944280,5931790
93239,3032500,5518280
93240,2905370,5915360
93241,2774040,5765990
93242,3216100,5541270
93243,2611450,5788440
93244,3187110,5761760
93245,3160470,5499820
93247,3123790,5727860
93249,2923840,5493220
93250,2923250,5698280
93251,2820830,5543810
93252,2624150,5626200
93254,2677500,5483540
93255,2916580,6006310
93256,3039760,5657040
93257,3047180,5784120
93260,2976990,5840440
93262,3265640,5826560
93263,2863910,5651650
93265,3112800,5845490
93266,3098640,5506210
93267,3099330,5722740
93268,2748320,5612630
93270,3026250,5732730
93271,3201840,5828150
93272,3066560,5649320
93274,3114350,5640490
93276,2766120,5651920
93277,3158850,5637810
93280,2919440,5615300
93283,2859110,5975730
93285,2910370,5865710
93286,3236590,5740600
93287,2950820,5791840
93291,3191700,5642300
93292,3184600,5685350
93301,2822500,5735370
93304,2806180,5734000
93305,2823910,5745930
93306,2846300,5792420
93307,2775190,5766570
93308,2883800,5764940
93309,2807870,5721860
93311,2752950,5684920
93312,2825950,5705940
93313,2732440,5726620
93314,2827030,5673010
93401,2784430,5256260
93402,2805860,5195140
93405,2801800,5220150
93407,2808960,5245200
93420,2747970,5316460
93422,2869650,5240090
93426,3018370,5162490
93427,2565510,5363850
93428,2917080,5143300
93429,2631820,5270140
93430,2881100,5172770
93432,2869450,5301530
93433,2743060,5254650
93434,2677540,5252230
93435,2889590,5135710
93436,2552430,5314920
93437,2576670,5264900
93440,2599350,5351230
93441,2593130,5408550
93442,2848030,5205290
93444,2707630,5289990
93445,2736720,5255850
93446,2937930,5228480
93449,2756920,5245840
93450,3086350,5217160
93451,3012950,5297540
93452,2965900,5102760
93453,2779140,5431800
93454,2669440,5366230
93455,2632280,5318340
93458,2681770,5289890
93460,2574620,5439800
93461,2918980,5363780
93463,2548570,5394500
93465,2894640,5232950
93501,2696460,5995060
93505,2741610,6090850
93510,2476840,5974340
93512,3700300,5870660
93513,3512980,6076550
93514,3579100,5943440
93516,2673500,6158470
93517,3873160,5741690
93518,2809520,5905660
93519,2805750,6073290
93523,2673710,6074970
93524,2639580,6139760
93526,3377710,6078550
93527,2933060,6062740
93528,2809540,6140990
93529,3707760,5765750
93531,2762820,5858460
93532,2564750,5865400
93534,2574310,5990970
93535,2578520,6067520
93536,2589600,5911170
93541,3784290,5777180
93543,2496350,6053180
93544,2486190,6110460
93545,3184150,6046830
93546,3635290,5802060
93550,2489410,6011650
93551,2529900,5967800
93552,2522810,6028300
93553,2477730,6067130
93554,2823870,6120900
93555,2926670,6205060
93560,2649670,5887770
93561,2734580,5888040
93562,2918170,6232480
93563,2423190,6071700
93591,2530720,6091240
93601,3556010,5544880
93602,3444700,5632020
93603,3280090,5758740
93604,3530900,5600160
93608,3249860,5366660
93609,3246950,5497220
93610,3458260,5386080
93611,3354000,5555770
93612,3349600,5546750
93614,3493240,5543910
93615,3233260,5668560
93616,3289970,5579660
93618,3239790,5638180
93619,3384710,5587170
93620,3448470,5281020
93621,3316220,5740580
93622,3372150,5295410
93623,3598350,5572670
93625,3279480,5557470
93626,3437250,5564710
93627,3233050,5407890
93628,3335540,5778700
93630,3317110,5426130
93631,3225570,5599940
93633,3352520,5838250
93635,3424870,5180060
93636,3412500,5501470
93637,3389050,5416010
93638,3434680,5455110
93640,3288120,5294970
93641,3300980,5740600
93643,3512130,5629210
93644,3568180,5613360
93645,3477950,5569020
93646,3278850,5672340
93647,3258770,5693690
93648,3277300,5600810
93650,3360000,5520700
93651,3415340,5606230
