Van ID,Employer,Van Type,Vehicle Capacity,Industry,Industry Type,Origin,Destination,Origin Zip,Destination Zip,Daily Round Trip Mileage
2319,Nassco,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,North County East,Central,92027,92113,70
2321,MCRD,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,Central,92563,92140,128
2322,Camp Pendleton,2019 Dodge DURA - 7 Seats,7,Military,Military,South Suburban,North County West,91932,92055,126
2326,Camp Pendleton,2019 Nissan PATH - 7 Seats,7,Military,Military,North City,North County West,92111,92055,96
2332,US Border Patrol - Pine Valley,2018 Ford Explorer - 7 Seats,7,Government & Public Administration,Federal,East County,East County,91901,91962,83
2336,Camp Pendleton,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,North County West,92591,92055,74
2340,Palomar Medical Center,2020 Nissan PATH - 7 Seats,7,Health Care & Social Assistance,Non-Federal,Riverside County,North County East,92563,92029,68
2348,VA Medical Center,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,South Suburban,North City,91902,92161,58
2354,MCRD,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,Central,92592,92140,120
2357,UCSD,2016 Chevrolet Express 2500 - 8 Seats,8,Education Services & Academic Institutions,Non-Federal,South Suburban,North City,91910,92093,67
2358,UCSD,2019 Volkswagen ATLAS - 7 Seats,7,Education Services & Academic Institutions,Non-Federal,South Suburban,North City,92154,92093,58
2361,SPAWAR,2020 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92592,92152,128
2365,RJ Donovan Correction Facility,2015 Chevrolet Express - 10 Seats,10,Government & Public Administration,Federal,East Suburban,South Suburban,91945,92179,41
2375,Marines - Miramar,2019 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,North City,92596,92145,116
2377,General Atomics,2020 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North City,92591,92064,94
2384,Caliber Home Loans,2019 Volkswagen ATLAS - 7 Seats,7,Finance & Insurance,Non-Federal,Riverside County,North City,92591,92127,82
2385,Delta Design,2018 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Central,North City,91950,92064,85
2386,VA Medical Center,2019 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,East Suburban,North City,92071,92161,65
2392,Naval Base San Diego,2017 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,Central,92592,92136,160
2394,Johnson Matthey,2019 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Central,North City,92114,92128,46
2396,BAE Systems,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,Central,92544,92113,132
2397,Naval Base San Diego,2020 Ford EXPE - 8 Seats,8,Military,Military,Riverside County,Central,92596,92136,134
2401,UCSD,2020 Ford TRANS - 8 Seats,8,Education Services & Academic Institutions,Non-Federal,South Suburban,North City,91910,92093,58
2402,Marines-Camp Pendleton,2018 Ford Explorer - 7 Seats,7,Military,Military,Riverside County,North County West,92530,92055,95
2404,GIA-Gemological Institute of America Inc,2020 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Orange County,North County West,92780,92008,108
2405,US Border Patrol,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,Imperial County,East County,92251,91906,116
2408,US Navy,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,Central,92591,92106,132
2415,Naval Base Point Loma,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,Central,92563,92106,140
2416,NASNI,2019 Dodge DURA - 7 Seats,7,Military,Military,North County East,Central,92027,92135,107
2417,BAE Systems,2018 Ford Explorer - 7 Seats,7,Manufacturing,Non-Federal,South Suburban,Central,92154,92113,71
2418,Solar Turbines,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,North County West,Central,92057,92101,86
2419,Marines - Miramar,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,North City,92562,92145,102
2423,Metropolitan Correctional Center,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,Riverside County,Central,92563,92101,134
2424,Naval Base San Diego,2020 Buick ENCL - 7 Seats,7,Military,Military,North City,Central,92128,92136,70
2427,Scripps Health,2018 Volkswagen ATLAS - 7 Seats,7,Health Care & Social Assistance,Non-Federal,South Suburban,North City,91910,92127,71
2428,Qualcomm,2020 Buick ENCL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North City,92592,92121,98
2431,Naval Medical Center,2019 Ford EXPL - 7 Seats,7,Military,Military,Riverside County,Central,92592,92134,124
2433,Navy,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,Central,92592,92135,126
2440,US Border Patrol,2019 Ford TRANS - 10 Seats,10,Government & Public Administration,Federal,Riverside County,South Suburban,92553,92173,152
2443,General Atomics,2015 Chevrolet Express Express 3500 - 10 Seats,10,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North City,92881,92064,103
